"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","peopl","nation","great","govern","upon","law","shall","interest","american","will"
"2","free","world","everi","state","one","public","duti","polici","men","can"
"3","spirit","peac","countri","power","citizen","may","nation","great","work","must"
"4","liberti","new","mani","constitut","right","congress","will","war","live","make"
"5","freedom","america","much","union","parti","govern","countri","secur","man","now"
"6","human","let","may","unit","polit","execut","offic","use","hand","good"
"7","civil","hope","present","right","question","administr","servic","industri","life","everi"
"8","equal","today","experi","foreign","differ","effect","faith","necessari","time","come"
"9","prosper","seek","patriot","form","opinion","busi","support","protect","chang","need"
"10","justic","way","confid","general","peopl","legisl","well","countri","call","never"
"11","yet","old","danger","limit","view","made","presid","maintain","know","like"
"12","high","first","success","author","other","elect","respons","revenu","thing","done"
"13","among","year","hope","feder","principl","depart","honor","product","generat","greater"
"14","republ","strength","look","object","express","requir","best","forc","place","communiti"
"15","bless","war","result","respect","subject","enforc","interest","progress","god","race"
"16","mind","stand","less","preserv","reason","measur","part","increas","find","fail"
"17","continu","strong","howev","territori","section","labor","trust","mean","beyond","common"
"18","found","togeth","whose","whole","regard","larg","relat","import","heart","believ"
"19","love","histori","might","within","act","control","determin","encourag","see","face"
"20","still","centuri","just","protect","given","secur","give","trade","children","whether"
