"","V1"
"inaug_GeorgeWashington_1_2",3
"inaug_GeorgeWashington_1_3",3
"inaug_GeorgeWashington_1_4",3
"inaug_GeorgeWashington_1_5",3
"inaug_GeorgeWashington_1_6",3
"inaug_GeorgeWashington_1_7",3
"inaug_GeorgeWashington_1_8",3
"inaug_GeorgeWashington_1_9",3
"inaug_GeorgeWashington_1_10",3
"inaug_GeorgeWashington_1_11",3
"inaug_GeorgeWashington_1_12",6
"inaug_GeorgeWashington_1_13",6
"inaug_GeorgeWashington_1_14",6
"inaug_GeorgeWashington_1_15",5
"inaug_GeorgeWashington_1_16",1
"inaug_GeorgeWashington_1_17",1
"inaug_GeorgeWashington_1_18",1
"inaug_GeorgeWashington_1_19",1
"inaug_GeorgeWashington_1_20",1
"inaug_GeorgeWashington_1_21",4
"inaug_GeorgeWashington_1_22",4
"inaug_GeorgeWashington_1_23",3
"inaug_GeorgeWashington_1_24",3
"inaug_GeorgeWashington_1_25",5
"inaug_GeorgeWashington_1_26",7
"inaug_GeorgeWashington_1_27",7
"inaug_GeorgeWashington_1_28",7
"inaug_GeorgeWashington_1_29",3
"inaug_GeorgeWashington_1_30",1
"inaug_JohnAdams_1_2",1
"inaug_JohnAdams_1_3",1
"inaug_JohnAdams_1_4",6
"inaug_JohnAdams_1_5",6
"inaug_JohnAdams_1_6",3
"inaug_JohnAdams_1_7",1
"inaug_JohnAdams_1_8",1
"inaug_JohnAdams_1_9",4
"inaug_JohnAdams_1_10",3
"inaug_JohnAdams_1_11",3
"inaug_JohnAdams_1_12",3
"inaug_JohnAdams_1_13",4
"inaug_JohnAdams_1_14",6
"inaug_JohnAdams_1_15",7
"inaug_JohnAdams_1_16",3
"inaug_JohnAdams_1_17",7
"inaug_JohnAdams_1_18",3
"inaug_JohnAdams_1_19",1
"inaug_JohnAdams_1_20",6
"inaug_JohnAdams_1_21",1
"inaug_JohnAdams_1_22",4
"inaug_JohnAdams_1_23",1
"inaug_JohnAdams_1_24",1
"inaug_JohnAdams_1_25",1
"inaug_JohnAdams_1_26",1
"inaug_JohnAdams_1_27",1
"inaug_JohnAdams_1_28",4
"inaug_JohnAdams_1_29",4
"inaug_JohnAdams_1_30",4
"inaug_JohnAdams_1_31",1
"inaug_JohnAdams_1_32",1
"inaug_JohnAdams_1_33",1
"inaug_JohnAdams_1_34",1
"inaug_JohnAdams_1_35",2
"inaug_JohnAdams_1_36",7
"inaug_JohnAdams_1_37",7
"inaug_JohnAdams_1_38",4
"inaug_JohnAdams_1_39",4
"inaug_JohnAdams_1_40",5
"inaug_JohnAdams_1_41",1
"inaug_JohnAdams_1_42",1
"inaug_JohnAdams_1_43",1
"inaug_JohnAdams_1_44",6
"inaug_JohnAdams_1_45",6
"inaug_JohnAdams_1_46",7
"inaug_JohnAdams_1_47",7
"inaug_JohnAdams_1_48",7
"inaug_JohnAdams_1_49",7
"inaug_JohnAdams_1_50",7
"inaug_JohnAdams_1_51",1
"inaug_JohnAdams_1_52",1
"inaug_JohnAdams_1_53",7
"inaug_JohnAdams_1_54",7
"inaug_ThomasJefferson_1_2",7
"inaug_ThomasJefferson_1_3",3
"inaug_ThomasJefferson_1_4",3
"inaug_ThomasJefferson_1_5",7
"inaug_ThomasJefferson_1_6",10
"inaug_ThomasJefferson_1_7",10
"inaug_ThomasJefferson_1_8",5
"inaug_ThomasJefferson_1_9",1
"inaug_ThomasJefferson_1_10",1
"inaug_ThomasJefferson_1_11",1
"inaug_ThomasJefferson_1_12",2
"inaug_ThomasJefferson_1_13",2
"inaug_ThomasJefferson_1_14",5
"inaug_ThomasJefferson_1_15",5
"inaug_ThomasJefferson_1_16",9
"inaug_ThomasJefferson_1_17",9
"inaug_ThomasJefferson_1_18",9
"inaug_ThomasJefferson_1_19",3
"inaug_ThomasJefferson_1_20",1
"inaug_ThomasJefferson_1_21",6
"inaug_ThomasJefferson_1_22",4
"inaug_ThomasJefferson_1_23",6
"inaug_ThomasJefferson_1_24",10
"inaug_ThomasJefferson_1_25",1
"inaug_ThomasJefferson_1_26",4
"inaug_ThomasJefferson_1_27",4
"inaug_ThomasJefferson_1_28",4
"inaug_ThomasJefferson_1_29",5
"inaug_ThomasJefferson_1_30",5
"inaug_ThomasJefferson_1_31",1
"inaug_ThomasJefferson_1_32",1
"inaug_ThomasJefferson_1_33",1
"inaug_ThomasJefferson_1_34",1
"inaug_ThomasJefferson_1_35",5
"inaug_ThomasJefferson_1_36",4
"inaug_ThomasJefferson_1_37",4
"inaug_ThomasJefferson_1_38",4
"inaug_ThomasJefferson_1_39",4
"inaug_ThomasJefferson_1_40",4
"inaug_ThomasJefferson_1_41",4
"inaug_ThomasJefferson_1_42",5
"inaug_ThomasJefferson_1_43",5
"inaug_ThomasJefferson_1_44",5
"inaug_ThomasJefferson_1_45",8
"inaug_ThomasJefferson_1_46",1
"inaug_ThomasJefferson_1_47",8
"inaug_ThomasJefferson_1_48",6
"inaug_ThomasJefferson_1_49",1
"inaug_ThomasJefferson_1_50",1
"inaug_ThomasJefferson_1_51",3
"inaug_ThomasJefferson_1_52",1
"inaug_ThomasJefferson_1_53",3
"inaug_ThomasJefferson_1_54",9
"inaug_ThomasJefferson_1_55",3
"inaug_ThomasJefferson_1_56",3
"inaug_ThomasJefferson_1_57",3
"inaug_ThomasJefferson_1_58",3
"inaug_ThomasJefferson_1_59",3
"inaug_ThomasJefferson_1_60",5
"inaug_ThomasJefferson_1_61",3
"inaug_ThomasJefferson_1_62",3
"inaug_ThomasJefferson_1_63",1
"inaug_JamesMadison_1_2",7
"inaug_JamesMadison_1_3",3
"inaug_JamesMadison_1_4",3
"inaug_JamesMadison_1_5",3
"inaug_JamesMadison_1_6",8
"inaug_JamesMadison_1_7",8
"inaug_JamesMadison_1_8",8
"inaug_JamesMadison_1_9",7
"inaug_JamesMadison_1_10",7
"inaug_JamesMadison_1_11",7
